Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1.160110,1.172330,1.159100,1.160160,1.160160,0
2019-04-02,1.166130,1.167140,1.161600,1.166000,1.166000,0
2019-04-03,1.171300,1.175680,1.168600,1.171500,1.171500,0
2019-04-04,1.171750,1.173530,1.164600,1.171620,1.171620,0
2019-04-05,1.164500,1.168220,1.159070,1.164780,1.164780,0
2019-04-08,1.162000,1.163890,1.156620,1.162070,1.162070,0
2019-04-09,1.160100,1.162880,1.155760,1.160200,1.160200,0
2019-04-10,1.158580,1.163690,1.158100,1.158820,1.158820,0
2019-04-11,1.161200,1.161970,1.158450,1.161440,1.161440,0
2019-04-12,1.159330,1.159650,1.154900,1.159290,1.159290,0
2019-04-15,1.157430,1.159970,1.156000,1.157390,1.157390,0
2019-04-16,1.158660,1.159120,1.154750,1.158500,1.158500,0
2019-04-17,1.155800,1.156100,1.151700,1.155790,1.155790,0
2019-04-18,1.154030,1.157660,1.153700,1.154090,1.154090,0
2019-04-19,1.156200,1.156740,1.155200,1.156190,1.156190,0
2019-04-22,1.155200,1.156400,1.152600,1.155300,1.155300,0
2019-04-23,1.152800,1.157840,1.152800,1.152700,1.152700,0
2019-04-24,1.152520,1.157570,1.152100,1.152600,1.152600,0
2019-04-25,1.156800,1.158910,1.155300,1.156830,1.156830,0
2019-04-26,1.157950,1.159410,1.157570,1.157840,1.157840,0
2019-04-29,1.158630,1.159780,1.156600,1.158610,1.158610,0
2019-04-30,1.156120,1.163610,1.155700,1.156070,1.156070,0
2019-05-01,1.162440,1.164480,1.161800,1.162480,1.162480,0
2019-05-02,1.165110,1.166950,1.163230,1.165300,1.165300,0
2019-05-03,1.166290,1.176790,1.164400,1.166310,1.166310,0
2019-05-06,1.175350,1.175470,1.168700,1.175580,1.175580,0
2019-05-07,1.169140,1.171010,1.165400,1.169150,1.169150,0
2019-05-08,1.167750,1.168050,1.159690,1.167500,1.167500,0
2019-05-09,1.161960,1.163050,1.156410,1.161850,1.161850,0
2019-05-10,1.159550,1.160000,1.157430,1.159510,1.159510,0
2019-05-13,1.157560,1.159340,1.152780,1.157610,1.157610,0
2019-05-14,1.154030,1.154340,1.150400,1.153940,1.153940,0
2019-05-15,1.151840,1.153150,1.144660,1.151840,1.151840,0
2019-05-16,1.146140,1.146520,1.142800,1.146250,1.146250,0
2019-05-17,1.145120,1.145200,1.139270,1.145000,1.145000,0
2019-05-20,1.140040,1.142800,1.138100,1.140150,1.140150,0
2019-05-21,1.139580,1.144980,1.137700,1.139650,1.139650,0
2019-05-22,1.138000,1.139860,1.131100,1.138100,1.138100,0
2019-05-23,1.135100,1.137160,1.131500,1.135120,1.135120,0
2019-05-24,1.131900,1.135910,1.129990,1.131900,1.131900,0
2019-05-27,1.135210,1.137450,1.131500,1.135060,1.135060,0
2019-05-28,1.132760,1.135230,1.131000,1.132500,1.132500,0
2019-05-29,1.133100,1.136370,1.131900,1.133200,1.133200,0
2019-05-30,1.133960,1.135090,1.131220,1.133870,1.133870,0
2019-05-31,1.132500,1.133370,1.126800,1.132700,1.132700,0
2019-06-03,1.131220,1.132910,1.126000,1.131030,1.131030,0
2019-06-04,1.125940,1.129470,1.123460,1.125950,1.125950,0
2019-06-05,1.128610,1.130610,1.126300,1.128610,1.128610,0
2019-06-06,1.129890,1.131210,1.124800,1.129800,1.129800,0
2019-06-07,1.125500,1.129630,1.123540,1.125810,1.125810,0
2019-06-10,1.123600,1.125910,1.119600,1.123400,1.123400,0
2019-06-11,1.121260,1.124570,1.119300,1.121210,1.121210,0
2019-06-12,1.122940,1.126870,1.121700,1.123020,1.123020,0
2019-06-13,1.123910,1.126270,1.120900,1.123600,1.123600,0
2019-06-14,1.124030,1.124570,1.121300,1.123950,1.123950,0
2019-06-17,1.122770,1.122960,1.117900,1.122600,1.122600,0
2019-06-18,1.117150,1.121630,1.114400,1.117230,1.117230,0
2019-06-19,1.122130,1.126570,1.120100,1.121800,1.121800,0
2019-06-20,1.126080,1.126910,1.120700,1.125900,1.125900,0
2019-06-21,1.124950,1.125400,1.117700,1.124960,1.124960,0
2019-06-24,1.120040,1.120990,1.115930,1.119700,1.119700,0
2019-06-25,1.117380,1.121320,1.115680,1.117100,1.117100,0
2019-06-26,1.116200,1.118170,1.113900,1.116000,1.116000,0
2019-06-27,1.116050,1.118730,1.114200,1.115700,1.115700,0
2019-06-28,1.114450,1.118310,1.112100,1.114440,1.114440,0
2019-07-01,1.117280,1.120150,1.113530,1.117250,1.117250,0
2019-07-02,1.120130,1.120860,1.114400,1.120140,1.120140,0
2019-07-03,1.115640,1.115830,1.112200,1.115620,1.115620,0
2019-07-04,1.114670,1.115400,1.113600,1.114300,1.114300,0
2019-07-05,1.114860,1.116080,1.113200,1.114720,1.114720,0
2019-07-08,1.115500,1.116600,1.114200,1.115490,1.115490,0
